json,image,W,H,n_objs,mode,note
05_sou_3690_265623_140_model_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3690_265623_140_model_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3694_265914_170_model_03bottom_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_3694_265914_170_model_03bottom_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3703_266556_110_model_04-1onepiece(dress)_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3703_266556_110_model_04-1onepiece(dress)_03plants.jpg,2268,4032,1,combo,ok
05_sou_3704_266636_190_model_04-1onepiece(dress)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3704_266636_190_model_04-1onepiece(dress)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3784_272408_310_model_01top(t-shirts)_05symbol.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/symbol/05_sou_3784_272408_310_model_01top(t-shirts)_05symbol.jpg,2268,4032,1,combo,ok
05_sou_3784_272439_260_clothes_01top(t-shirts)_05symbol.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/symbol/05_sou_3784_272439_260_clothes_01top(t-shirts)_05symbol.jpg,2268,4032,1,combo,ok
05_sou_3792_272956_30_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3792_272956_30_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3794_273145_120_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3794_273145_120_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3794_273157_240_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3794_273157_240_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3798_273403_180_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3798_273403_180_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3815_274641_320_model_03bottom_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/check/05_sou_3815_274641_320_model_03bottom_01check.jpg,2268,4032,1,combo,ok
05_sou_3819_274907_100_model_03bottom_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/check/05_sou_3819_274907_100_model_03bottom_01check.jpg,2268,4032,1,combo,ok
05_sou_3821_275099_220_clothes_03bottom_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/check/05_sou_3821_275099_220_clothes_03bottom_01check.jpg,2268,4032,1,combo,ok
05_sou_3828_275555_100_model_03bottom_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_3828_275555_100_model_03bottom_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3831_275765_40_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3831_275765_40_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_3838_276279_140_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3838_276279_140_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_3838_276296_310_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3838_276296_310_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_3839_276356_190_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3839_276356_190_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_3844_276738_50_clothes_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_3844_276738_50_clothes_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3858_277739_340_model_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_3858_277739_340_model_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3862_278057_280_clothes_01top(t-shirts)_05symbol.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/symbol/05_sou_3862_278057_280_clothes_01top(t-shirts)_05symbol.jpg,2268,4032,1,combo,ok
05_sou_3867_278397_80_clothes_01top(t-shirts)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/geometric/05_sou_3867_278397_80_clothes_01top(t-shirts)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3869_278510_130_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3869_278510_130_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3870_278570_10_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3870_278570_10_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3876_279022_210_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3876_279022_210_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3876_279042_50_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3876_279042_50_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3881_279393_320_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3881_279393_320_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3882_279444_110_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3882_279444_110_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3883_279568_270_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3883_279568_270_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3884_279592_150_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3884_279592_150_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3886_279757_0_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3886_279757_0_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3887_279844_150_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3887_279844_150_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3891_280099_180_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3891_280099_180_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3897_280533_200_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3897_280533_200_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3899_280715_220_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3899_280715_220_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3910_281468_190_model_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_3910_281468_190_model_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3923_282424_30_clothes_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3923_282424_30_clothes_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3924_282513_200_clothes_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3924_282513_200_clothes_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3927_282739_300_clothes_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3927_282739_300_clothes_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3929_282834_170_model_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3929_282834_170_model_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3946_284051_100_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3946_284051_100_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_3959_284991_140_model_03bottom_04etc nature.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etcnature/05_sou_3959_284991_140_model_03bottom_04etc nature.jpg,2268,4032,1,combo,ok
05_sou_3959_285014_10_clothes_03bottom_04etc nature.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etcnature/05_sou_3959_285014_10_clothes_03bottom_04etc nature.jpg,2268,4032,1,combo,ok
05_sou_3959_285034_210_clothes_03bottom_04etc nature.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etcnature/05_sou_3959_285034_210_clothes_03bottom_04etc nature.jpg,2268,4032,1,combo,ok
05_sou_3960_285117_320_clothes_03bottom_08aniaml.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/animal/05_sou_3960_285117_320_clothes_03bottom_08aniaml.jpg,2268,4032,1,combo,ok
05_sou_3962_285213_200_model_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3962_285213_200_model_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3963_285282_170_model_03bottom_06dot.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/dot/05_sou_3963_285282_170_model_03bottom_06dot.jpg,2268,4032,1,combo,ok
05_sou_3964_285350_130_model_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3964_285350_130_model_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3980_286547_220_clothes_01top(t-shirts)_05symbol.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/symbol/05_sou_3980_286547_220_clothes_01top(t-shirts)_05symbol.jpg,2268,4032,1,combo,ok
05_sou_3981_286617_200_clothes_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3981_286617_200_clothes_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3994_287525_280_model_01top(t-shirts)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3994_287525_280_model_01top(t-shirts)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3996_287666_250_model_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3996_287666_250_model_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3996_287683_60_clothes_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3996_287683_60_clothes_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_4012_288864_350_clothes_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4012_288864_350_clothes_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4013_288918_170_clothes_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4013_288918_170_clothes_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4014_288986_130_clothes_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4014_288986_130_clothes_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4016_289090_90_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4016_289090_90_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4019_289323_260_model_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_4019_289323_260_model_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_4019_289344_110_clothes_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_4019_289344_110_clothes_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_4020_289408_30_clothes_03bottom_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_4020_289408_30_clothes_03bottom_07geometric.jpg,2268,4032,1,combo,ok
05_sou_4021_289460_190_model_03bottom_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_4021_289460_190_model_03bottom_10etc.jpg,2268,4032,1,combo,ok
05_sou_4023_289612_270_model_03bottom_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_4023_289612_270_model_03bottom_10etc.jpg,2268,4032,1,combo,ok
05_sou_4027_289893_200_model_04-1onepiece(dress)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_4027_289893_200_model_04-1onepiece(dress)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4028_289982_10_clothes_04-1onepiece(dress)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_4028_289982_10_clothes_04-1onepiece(dress)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4035_290476_270_model_02top(others)_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/check/05_sou_4035_290476_270_model_02top(others)_01check.jpg,2268,4032,1,combo,ok
05_sou_4041_290949_320_clothes_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4041_290949_320_clothes_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4042_291015_260_clothes_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4042_291015_260_clothes_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4045_291229_240_clothes_02top(others)_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/plants/05_sou_4045_291229_240_clothes_02top(others)_03plants.jpg,2268,4032,1,combo,ok
05_sou_4050_291561_320_model_03bottom_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/check/05_sou_4050_291561_320_model_03bottom_01check.jpg,2268,4032,1,combo,ok
05_sou_4056_291983_220_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4056_291983_220_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4060_292282_330_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4060_292282_330_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4061_292377_200_clothes_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4061_292377_200_clothes_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4070_292988_190_model_04-1onepiece(dress)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_4070_292988_190_model_04-1onepiece(dress)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4072_293150_10_clothes_04-1onepiece(dress)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_4072_293150_10_clothes_04-1onepiece(dress)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4081_293787_260_model_04-1onepiece(dress)_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4081_293787_260_model_04-1onepiece(dress)_03plants.jpg,2268,4032,1,combo,ok
05_sou_4090_294425_160_model_04-1onepiece(dress)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_4090_294425_160_model_04-1onepiece(dress)_10etc.jpg,2268,4032,1,combo,ok
05_sou_4096_294905_280_clothes_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4096_294905_280_clothes_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4102_295304_310_model_02top(others)_05symbol.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/symbol/05_sou_4102_295304_310_model_02top(others)_05symbol.jpg,2268,4032,1,combo,ok
05_sou_4107_295644_110_model_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_4107_295644_110_model_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_4113_296088_230_model_02top(others)_06dot.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/dot/05_sou_4113_296088_230_model_02top(others)_06dot.jpg,2268,4032,1,combo,ok
05_sou_4115_296246_10_clothes_02top(others)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/geometric/05_sou_4115_296246_10_clothes_02top(others)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_4117_296359_60_model_02top(others)_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/check/05_sou_4117_296359_60_model_02top(others)_01check.jpg,2268,4032,1,combo,ok
05_sou_4118_296467_60_clothes_02top(others)_06dot.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/dot/05_sou_4118_296467_60_clothes_02top(others)_06dot.jpg,2268,4032,1,combo,ok
05_sou_4119_296556_230_clothes_02top(others)_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/plants/05_sou_4119_296556_230_clothes_02top(others)_03plants.jpg,2268,4032,1,combo,ok
05_sou_4132_297439_60_model_03bottom_06dot.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/dot/05_sou_4132_297439_60_model_03bottom_06dot.jpg,2268,4032,1,combo,ok
05_sou_4137_297833_40_clothes_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4137_297833_40_clothes_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4143_298255_300_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4143_298255_300_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4146_298476_350_model_03bottom_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_4146_298476_350_model_03bottom_03plants.jpg,2268,4032,1,combo,ok
05_sou_4147_298542_290_model_03bottom_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_4147_298542_290_model_03bottom_10etc.jpg,2268,4032,1,combo,ok
05_sou_4147_298569_200_clothes_03bottom_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_4147_298569_200_clothes_03bottom_10etc.jpg,2268,4032,1,combo,ok
05_sou_4148_298634_130_clothes_03bottom_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_4148_298634_130_clothes_03bottom_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4153_298961_160_model_05outer_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4153_298961_160_model_05outer_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4155_299138_130_clothes_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4155_299138_130_clothes_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4157_299291_220_clothes_01top(t-shirts)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4157_299291_220_clothes_01top(t-shirts)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4161_299583_260_clothes_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4161_299583_260_clothes_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4164_299752_150_model_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4164_299752_150_model_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4164_299786_130_clothes_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4164_299786_130_clothes_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4165_299811_20_model_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4165_299811_20_model_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_4166_299901_200_model_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_4166_299901_200_model_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_4166_299949_320_clothes_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_4166_299949_320_clothes_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_4168_300073_120_clothes_02top(others)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/stripe/05_sou_4168_300073_120_clothes_02top(others)_02stripe.jpg,2268,4032,1,combo,ok
